verse num,verse id,num_manual_mappings,num_suggested_mappings,num_correct_mappings
470,40014018,7,5,0
471,40014019,33,22,4
472,40014020,13,10,2
473,40014021,11,8,3
474,40014022,18,14,2
475,40014023,16,11,1
476,40014024,15,15,3
477,40014025,12,8,0
478,40014026,18,17,1
479,40014027,11,9,2
480,40014028,17,10,0
481,40014029,17,16,2
482,40014030,14,9,1
483,40014031,15,14,1
484,40014032,9,7,1
485,40014033,12,9,1
486,40014034,8,6,1
487,40014035,17,16,2
488,40014036,14,12,2
489,40015001,9,8,2
490,40015002,16,12,1
491,40015003,15,11,0
492,40015004,15,15,3
493,40015005,13,11,0
494,40015006,12,9,0
495,40015007,7,5,1
496,40015008,13,12,1
497,40015009,8,6,0
498,40015010,9,7,3
499,40015011,19,14,1
500,40015012,13,8,0
501,40015013,13,11,2
502,40015014,15,14,3
503,40015015,9,6,0
504,40015016,8,6,0
505,40015017,16,14,2
506,40015018,14,11,2
507,40015019,13,11,1
508,40015020,14,10,3
509,40015021,11,8,3
510,40015022,19,15,3
511,40015023,19,12,0
512,40015024,13,10,0
513,40015025,8,7,1
514,40015026,15,9,0
515,40015027,17,14,1
516,40015028,21,19,2
517,40015029,16,14,3
518,40015030,25,20,8
519,40015031,19,17,1
520,40015032,32,22,2
521,40015033,14,12,3
522,40015034,14,11,2
523,40015035,8,4,1
524,40015036,17,12,1
525,40015037,13,10,3
526,40015038,10,8,3
527,40015039,14,11,1
528,40016001,15,12,1
529,40016002,13,9,2
530,40016003,22,16,0
531,40016004,19,12,1
532,40016005,9,8,2
533,40016006,14,11,1
534,40016007,10,8,1
535,40016008,13,10,0
536,40016009,13,11,6
537,40016010,10,8,3
538,40016011,17,13,3
539,40016012,19,13,1
540,40016013,19,15,0
541,40016014,17,12,1
542,40016015,8,5,0
543,40016016,14,9,1
544,40016017,23,17,1
545,40016018,21,17,2
546,40016019,30,24,2
547,40016020,11,9,0
548,40016021,30,25,5
549,40016022,15,12,1
550,40016023,20,15,2
551,40016024,20,19,3
552,40016025,17,12,0
553,40016026,20,15,0
554,40016027,21,20,1
555,40016028,21,17,1
556,40017001,20,16,4
557,40017002,19,16,2
558,40017003,10,9,4
559,40017004,25,18,4
560,40017005,26,21,2
561,40017006,11,6,2
562,40017007,10,9,1
563,40017008,9,9,0
564,40017009,21,18,3
565,40017010,15,12,3
566,40017011,10,7,2
567,40017012,25,20,2
568,40017013,11,8,1
569,40017014,10,9,1
570,40017015,22,22,4
